order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
14,4,db811108d45741e58550f68898232e6ca08dfdb01a1789b8cc41aaf02d63620e,3,committee1,1789836533711214000,1789836533878848000,1789836533992769000,1789836533869094000,1789836533835112000,1789836533835269000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534953538000,0.363,18.72,167.634,2.005,103.173,0.131,62.325,0.129,176.278,52.573,123.675,-157.688,-157.979,-157.657,2.289,0.04,2.097,285.531,0.216,260.747,1.28,0.002,0.048,3.522,27.184,104.888,123.898,809.571,641.937,685.516,266.51,3.128,0.225,0.01,1.046,100.217,4.43,361.985,70.768,383.428,1192.999,1242.324
15,12,a4470377d36c727daf73be9b699f3dd9098fd2fc2a527d6211888990d3472eda,3,committee1,1789836533711229000,1789836533844813000,1789836533868849000,1789836533815990000,1789836533799640000,1789836533799922000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534896135000,0.378,1.277,133.584,1.201,85.933,0.264,46.186,0.134,70.575,17.493,52.859,-69.433,-70.338,-69.209,3.011,0.15,2.68,320.295,0.216,260.747,0.203,0.004,0.056,4.589,27.184,104.888,88.411,809.556,675.972,720.863,266.51,3.128,0.225,0.01,1.046,100.217,-4.449,361.985,13.365,374.549,1184.105,1184.906
16,24,3f2b695521b0af728a9bf9f2634bb27d287a56ba0e2ea827c0a7a4db861e8cae,3,committee1,1789836533711253000,1789836533878847000,1789836533992769000,1789836533869164000,1789836533859449000,1789836533859693000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534924970000,0.402,41.712,167.594,1.99,104.494,0.4,60.71,0.23,174.86,51.197,123.605,-133.38,-133.885,-133.32,1.402,0.046,1.107,262.097,0.216,260.747,3.362,0.004,0.05,1.436,27.184,104.888,148.196,809.532,641.938,661.092,266.51,3.128,0.225,0.01,1.046,100.217,5.854,361.985,42.2,384.852,1194.384,1213.717
17,48,23ec14bea1168a0c42376b6cefe9bf17385934abf3ffe9801b656f74c7f035eb,3,committee1,1789836533711300000,1789836533878856000,1789836533992769000,1789836533869188000,1789836533869713000,1789836533869926000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534953496000,0.449,52.949,167.556,1.393,104.071,0.537,61.555,1.576,174.461,50.848,123.581,-123.22,-123.545,-123.056,2.305,0.083,1.873,251.098,0.216,260.747,3.676,0.003,0.05,1.123,27.184,104.888,158.413,809.485,641.929,650.859,266.51,3.128,0.225,0.01,1.046,100.217,4.448,361.985,70.726,383.446,1192.931,1242.196
18,54,1191be79d82774e67514270f8c51af522da9afd7e46401dbc3e97658cf0821e2,3,committee1,1789836533711334000,1789836533878902000,1789836533992769000,1789836533869061000,1789836533859732000,1789836533859912000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534945545000,0.483,43.595,167.568,2.481,102.322,0.076,62.689,0.133,176.534,52.791,123.708,-133.074,-133.487,-133.037,2.769,0.054,2.225,260.76,0.216,260.747,3.49,0.004,0.052,1.306,27.184,104.888,148.398,809.451,641.883,660.873,266.51,3.128,0.225,0.01,1.046,100.217,4.444,361.985,62.775,383.442,1192.893,1234.211
19,30,4b398974942e27c5d4c3660632437cc61de2ab65d6b38b4910de9ef5ab771c15,3,committee1,1789836533711345000,1789836533844775000,1789836533868849000,1789836533815970000,1789836533799583000,1789836533799865000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534907214000,0.494,1.328,133.43,1.322,85.588,0.394,46.126,0.206,70.608,17.509,52.879,-69.487,-70.348,-69.266,2.374,0.164,2.047,320.985,0.216,260.747,0.117,0.004,0.065,4.666,27.184,104.888,88.238,809.44,676.01,720.92,266.51,3.128,0.225,0.01,1.046,100.217,-4.375,361.985,24.444,374.623,1184.063,1195.869
20,9,06d3b14650a0409c2f988ce5d7dfa353ccc332f837678a31302d86bf45426b39,3,committee1,1789836533711353000,1789836533878861000,1789836533992769000,1789836533869143000,1789836533831008000,1789836533831172000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534953493000,0.502,14.296,167.508,1.329,104.03,0.115,62.034,0.117,176.015,52.314,123.626,-161.836,-162.09,-161.761,2.394,0.047,2.194,289.531,0.216,260.747,0.929,0.003,0.061,3.859,27.184,104.888,119.655,809.432,641.924,689.613,266.51,3.128,0.225,0.01,1.046,100.217,4.513,361.985,70.723,383.511,1192.943,1242.14
21,33,9a996a8d556ce0e63f4900b54a5ae984e9367ee9701d7076cde597079d85ab5a,3,committee1,1789836533711404000,1789836533844793000,1789836533992769000,1789836533868920000,1789836533836420000,1789836533836569000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534907272000,0.553,35.122,133.389,1.326,88.568,0.09,43.405,14.948,176.548,52.674,123.849,-156.375,-156.674,-156.349,3.61,0.034,3.371,282.957,0.216,260.747,1.52,0.005,0.048,3.279,27.184,104.888,125.016,809.381,675.992,684.216,266.51,3.128,0.225,0.01,1.046,100.217,-4.425,361.985,24.502,374.573,1183.954,1195.868
22,47,0dadee36e0669413ce2b2722e00f120e748ba00fba155853642715efd3550315,3,committee1,1789836533711440000,1789836533878915000,1789836533992769000,1789836533869337000,1789836533841088000,1789836533841299000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534944793000,0.589,22.869,167.475,1.263,105.516,0.169,60.527,2.336,172.308,48.782,123.432,-151.776,-152.012,-151.681,2.37,0.088,2.121,279.477,0.216,260.747,2.451,0.004,0.058,2.339,27.184,104.888,129.648,809.345,641.87,679.486,266.51,3.128,0.225,0.01,1.046,100.217,4.546,361.985,62.023,383.544,1192.889,1233.353
23,46,5fe9139574c00d0e3674a94a45055d15be099eeef540cb5faa9f07f539046039,3,committee1,1789836533711466000,1789836533878866000,1789836533992769000,1789836533869148000,1789836533843122000,1789836533843287000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534953487000,0.615,25.433,167.4,1.733,104.49,0.471,60.706,0.166,174.965,51.293,123.621,-149.699,-149.973,-149.647,2.523,0.05,2.321,277.289,0.216,260.747,2.657,0.004,0.058,2.134,27.184,104.888,131.656,809.319,641.919,677.498,266.51,3.128,0.225,0.01,1.046,100.217,4.516,361.985,70.717,383.514,1192.833,1242.021
