lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
4,6,e82405224ed1e5ecca4e6530e6941060ca1805f1cb038a11ac8feb920f9a2b6c,1789722563586878000,139789,272100,3881099,8629372,2563320,7534928,
6,8,01fe8e77fcca10fbdcb114f785cb38eac4d0fadccbdf1cce85c70f54f427dea9,1789722563655640000,90327,311553,3826062,8758785,2493421,7626602,
3,6,f276e94846a2bc90cd5ed659f7297a7c98eefeb6f96e2e6c75f4e20197e7b531,1789722563655784000,90220,311422,3826335,8662343,2495622,7633505,
2,6,a48613042589191cd2e70fb042280dd5586636dc351acfcfaef2eacfe860dee2,1789722563655802000,90231,311606,3826556,8050947,2495809,7634655,
0,8,631cae2b170cb4a7edccc76ec129312227233f78966f33a070f1e8ee9eaf1cb4,1789722563888141000,128496,302807,4359008,8023762,3245516,7515803,
1,8,c69a67304c4e55db36a98410de77a472d4ff4fe3c9107d3666329b51f1b0ec17,1789722563919179000,191504,319769,3519368,8227045,3197682,7486836,
7,8,4df8b7fe6324d8d0a159ad7560c2622b6e30e296e224c5eedea6ca3e325e9265,1789722563919222000,197725,319751,3546942,7982474,3199575,7561131,
4,7,880abf8d78ece89a5bf33df00c1d035ceeb40053982392ee1ccd83d035c069ab,1789722564016971000,164788,283050,3452920,8438596,3167958,7601676,
3,7,1b3b90b2601625c53fcbab4ace6fd84dc4dc9f814db0150c2401bb232e201029,1789722564110372000,101438,189649,3359005,8296568,3166148,7500189,
6,9,793865ad8a12989a3f364d0a753c7dc6bba3038e365b7168defa227b29873c78,1789722564110510000,101371,189514,4134346,8116453,3168303,7611881,
5,7,81cad60179f795a18901e05f7a8be306d51ada171b003dda1c1200fd311d3764,1789722564110627000,101276,189396,4134360,8328668,3168139,7605431,
2,7,49b1b1501d13afc6e066b0e8ebbd7d182be59108b7f97919fe0a37bd9a389ebc,1789722564191147000,190532,238801,3279012,7811397,3038643,7572048,
0,9,c1aae49f8b3e66dff03a1a7440dddf65530078110c92efe194ca2de3c85100a4,1789722564300597000,167208,207357,3946256,7708387,2961291,7500394,
1,9,c0b4acdca5e621c0aa98482f8a758c64418f73bbf7b838d9c5bd44cd3f6afeeb,1789722564325088000,149579,182854,3145419,7682270,2960903,7495353,
7,9,b609bf6c5901ba344b3520d306cfc0a289bd642ea5a9f602254a794c56d3c566,1789722564325094000,132389,182856,3145578,7683254,2961100,7499409,
5,8,00598e1d4e1350d74f83986f4f9e76296bfeeb36e8eba47f98b43ae5baf431b8,1789722564356074000,74699,155856,3889526,8058319,2957964,7497679,
4,8,aeb24ee6f4e7cc04cd2a9ffdd1c9a9ecfd95e8f0a25fb371b66c71f52697b9a0,1789722564356083000,74659,130863,3114260,7647211,2981745,7515599,
3,8,33207348046adf9e1782188e50c5bff9fd95e0c7d91c1c4231f3d59bb337f050,1789722564356089000,74659,155812,3114746,7653519,2957477,7497083,
6,10,c9ec5d0e48f536c65e6d17bce0b3b383d32159fa24639b1d6ac04fdad378258e,1789722564356109000,74630,155801,3889100,7857736,2957632,7497604,
2,8,306188dc71e7f83579521ce7e7c412cfef726beeba67dcc4ea02af21eb25a5c8,1789722564477174000,39462,105726,5252769,8140603,2887261,7429078,
7,10,2b0ca46402a311b00fbeb4208ae9388d3e26ee496ef397deb74fa99698918ea5,1789722564534128000,235751,380836,5195445,8028862,2555709,7231264,
4,9,626ba66cead194ceb054998af9c5946899b359a867801e167acf7bf211eead03,1789722564538170000,159042,240068,5193252,8375276,2692107,7331101,
3,9,0efe41f14da228b0d80ba280d0116502bfa35c2f521def0f1c505912e3479730,1789722564583133000,241436,344814,2899414,7766993,2553579,7220704,
5,9,8b715d6dc281259fd2242b6a6301e46cf80a148be155230dd57a682ecf1bc4f3,1789722564583160000,241407,344773,3662177,7983351,2542903,7220711,
6,11,ecbeba3fee863ff001c7ae670f5d4be486537ea16ec245aa470fd1b12472c082,1789722564583164000,144950,195090,3661482,7565487,2692255,7363889,
0,10,7d35715783f947d5c733f83aad52c15366c7e11ef48e60e6c094bc929efc3dc7,1789722564621466000,183207,382587,3624475,7594654,2477917,7209815,
1,10,0b14d8fbf920c0b24baa2e4419a1153ba7fe1f4bdf8221eaaca40652e3a94826,1789722564621631000,182840,382422,3625117,7902425,2477654,7211947,
2,9,0394c69b6a396dcf18f0cdb19e630905647fcefd8b91157d2dcbc3eb9a1386b7,1789722564727096000,201445,342972,5001646,7489688,2412063,7146053,
