order,index,height,fact,proposer,first_submitter,sent_ns,fast_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,send_offset_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,gateway_persist_ms,gateway_queue_ms,install_fanout_ms,response_to_committee_ms,fast_to_committee_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_observe_lag_ms,member_apply_from_commit_ms,block_observed_ms,members_observed_ms
24,26,10,88bccedfcc0afde38b02288f0fabbdcd70a5254bb4201e5210aa287f17b62eaa,committee1,gateway0,1789784311700044000,1789784311870358000,1789784314449190000,1789784315189813000,1789784315502889000,1789784315560778000,0.434,170.314875,7.062,88.369,4.213,70.67,212.179,2337.005,103.667,2653.715,2578.832,0.115,1.558,406.19,4.838,251.164,2.376,0.714,0.934,6.568,44.271,22.008,3489.769,285.409,0.998,0.283,0.012,4.06,22.309,-7.511,-14.014,370.965,3795.352125,3846.73775
25,27,9,71c82d1d8e26ad9fb1b61847a3f707e849634389a692cae321f3189e7544f520,committee0,gateway0,1789784311700056000,1789784311869881000,1789784314264052000,1789784314864782000,1789784315195792000,1789784315189867000,0.446,169.826416,5.458,90.023,4.757,69.587,178.223,2242.061,47.76,2468.515,2394.171,0.071,2.199,162.705,8.355,335.593,14.282,0.538,0.692,2.665,42.718,30.982,3164.726,235.835,13.818,0.289,0.012,8.999,72.051,-25.177,18.409,325.085,3470.5755,3508.237166
26,28,11,a6929bd30890ece132877f41a522fe5aa6147d5657fbc65a853f2135433672b4,committee3,org0-member3,1789784311700076000,1789784311925254000,1789784315095556000,1789784315563845000,1789784315987753000,1789784315987799000,0.466,225.179417,10.034,96.164,8.224,110.756,663.443,2570.094,68.895,3289.282,3170.302,0.059,0.823,150.602,6.495,215.278,7.474,0.63,0.716,3.011,47.186,36.073,3863.769,375.412,1.283,0.277,0.013,4.196,42.721,-12.479,0.25,423.954,4275.219042,4287.994209
27,30,12,c32d0eb46634c8e37788b2189d09a089385d67d90bad02fce19609234e2371a7,committee2,org0-member1,1789784311700090000,1789784311925096000,1789784315499817000,1789784316039846000,1789784316345762000,1789784316348718000,0.48,225.006584,6.576,113.527,0.087,104.816,707.589,2935.025,97.874,3679.624,3574.721,0.076,0.789,113.408,5.758,354.032,6.858,0.553,0.745,2.882,27.955,27.048,4339.756,267.244,1.299,0.278,0.012,4.36,32.718,4.376,11.082,308.872,4650.069584,4659.731459
28,29,8,2889f423679b003fd3706c48a67c8470562c6dd45a9df90520043802f561fdd3,committee2,gateway0,1789784311700093000,1789784311924388000,1789784313557085000,1789784314398736000,1789784314776822000,1789784314800872000,0.483,224.296291,15.272,90.278,6.67,112.075,442.051,1237.064,71.843,1751.442,1632.697,0.073,24.126,393.42,5.559,318.522,1.633,0.684,0.885,9.973,57.91,28.938,2698.643,342.525,1.664,0.275,0.013,4.532,29.068,-1.997,-19.931,402.136,3074.747208,3080.862583
29,1,8,299565716f547264a75457ab4d25969a99ed3070273cf7ac773e18db00ca6f9a,committee2,gateway0,1789784311700192000,1789784311869901000,1789784313557085000,1789784314398736000,1789784314776822000,1789784314800872000,0.582,169.710208,6.516,88.856,4.17,70.167,223.146,1466.048,71.817,1761.521,1687.184,0.048,25.477,392.069,5.559,318.522,4.769,0.646,0.92,6.84,57.91,28.938,2698.544,342.525,1.664,0.275,0.013,4.532,29.068,-5.518,0.597,402.136,3071.127458,3101.292
30,31,7,24a43589d3c7c2ac97c9e992c2a2ccdd5513529b39874e0712c432445057aa56,committee3,gateway0,1789784311700230000,1789784311870498000,1789784313412009000,1789784313976824000,1789784314341160000,1789784314340812000,0.62,170.268833,7.688,87.657,4.33,70.593,189.192,1377.997,48.383,1616.434,1541.511,0.059,1.514,194.407,6.095,257.098,9.036,0.655,0.85,1.579,41.62,51.96,2276.594,324.17,1.01,0.306,0.011,3.746,35.076,4.41,39.48,363.988,2645.352542,2680.074833
31,33,11,a0748469fef716f68f0e5a39cd85e42ff561ffb9e555fffd4fdbed8bf012642a,committee3,gateway0,1789784311700265000,1789784311870115000,1789784314873215000,1789784315563845000,1789784315987753000,1789784315987799000,0.655,169.850917,6.438,88.757,4.255,70.4,151.265,2849.073,76.69,3077.755,3003.1,0.109,0.773,372.993,6.495,215.278,0.014,0.679,0.871,10.267,47.186,36.073,3863.58,375.412,1.283,0.277,0.013,4.196,42.721,-17.591,8.56,423.954,4269.916875,4296.114209
32,32,11,b996081cf5c7950a58c11bcd518ef041977623641a648d99e99e2f4df01d1482,committee3,org0-member3,1789784311700269000,1789784311924138000,1789784315095573000,1789784315563845000,1789784315987753000,1789784315987799000,0.659,223.870958,12.32,93.167,7.088,111.294,449.001,2785.048,68.96,3289.817,3171.435,0.069,1.489,149.919,6.495,215.278,8.826,0.554,0.877,1.574,47.186,36.073,3863.576,375.412,1.283,0.277,0.013,4.196,42.721,-13.579,0.205,423.954,4273.926167,4287.756375
33,34,10,89a9d93fe1705ce82a6e7e10bc2be23c7c3ba7d44d6a0526bbf323699cc6a477,committee1,gateway0,1789784311700440000,1789784311925218000,1789784314681085000,1789784315189813000,1789784315502889000,1789784315560778000,0.83,224.778792,6.234,113.695,0.097,104.752,722.356,2082.096,55.78,2860.716,2755.867,0.06,0.812,175.041,4.838,251.164,5.329,0.549,0.765,3.95,44.271,22.008,3489.373,285.409,0.998,0.283,0.012,4.06,22.309,-2.616,-9.965,370.965,3799.851584,3850.391625
