Second,Sent,Ready,Public,Closed,Pending
283,141347,141346,141095,141095,252
284,141847,141846,141587,141587,260
285,142346,142346,142078,142078,268
286,142846,142846,142567,142567,279
287,143346,143346,143060,143060,286
288,143846,143845,143561,143561,285
289,144346,144345,144053,144053,293
290,144844,144844,144546,144546,298
291,145341,145340,145037,145037,304
292,145840,145840,145517,145517,323
293,146341,146340,146010,146010,331
294,146841,146837,146500,146500,341
295,147340,147340,146992,146992,348
296,147840,147835,147498,147498,342
297,148340,148339,147991,147991,349
298,148840,148840,148495,148495,345
299,149341,149340,148983,148983,358
300,149840,149840,149484,149484,356
301,149840,149840,149840,149840,0
