order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
23,46,81c26001d555b995d68690f02c804ac44a56e641f2b842aa89518b6cab3bb27b,3,committee0,1789831860809383000,1789831860954915000,1789831861023864000,1789831860954911000,1789831860922641000,1789831860922794000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862372079000,0.419,4.043,145.532,1.534,107.681,0.272,36.045,0.128,105.379,36.185,68.953,-101.465,-101.548,-101.223,2.37,0.038,2.179,341.024,53.822,368.121,9.82,0.583,0.612,69.481,19.47,122.081,113.258,1100.605,955.073,987.194,299.392,3.107,0.228,0.01,9.813,110.291,-2.561,453.818,8.273,420.288,1520.893,1562.696
24,61,7defbe276b6ee52d6e042bb5d8dc3b429136f2a829b1f88f3bfd28c418da0219,3,committee0,1789831860809409000,1789831861020187000,1789831861111852000,1789831861024768000,1789831861032555000,1789831861032705000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862396790000,0.445,60.426,210.778,4.883,157.837,0.073,47.985,0.752,139.308,51.887,87.084,-79.634,-79.621,-79.297,2.33,0.035,2.147,231.145,53.822,368.121,67.153,0.621,0.677,12.045,19.47,122.081,223.146,1100.579,889.801,877.283,299.392,3.107,0.228,0.01,9.813,110.291,12.407,453.818,32.984,435.256,1535.835,1587.381
25,11,b3460dbec02c1f14c87c99749fb504424cd7b46998eae71dc3953d47d2e213ef,3,committee0,1789831860809416000,1789831861020192000,1789831861111852000,1789831861024610000,1789831861024118000,1789831861024346000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862396612000,0.452,61.65,210.776,1.454,151.598,0.264,57.46,3.063,146.342,59.079,87.242,-87.756,-101.64,-87.734,3.16,0.106,2.886,238.765,53.822,368.121,53.121,0.623,0.671,26.081,19.47,122.081,214.702,1100.572,889.796,885.642,299.392,3.107,0.228,0.01,9.813,110.291,12.365,453.818,32.806,435.214,1535.786,1587.196
26,44,a88ed5c710b8e8d0f2daf058c8955fc935ee56156601d10b0caeb664d6c948f6,3,committee0,1789831860809440000,1789831861019921000,1789831861111852000,1789831861024432000,1789831860975051000,1789831860975205000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862428603000,0.476,11.964,210.481,1.428,152.219,2.198,54.636,1.949,147.105,59.396,87.42,-137.09,-137.143,-136.801,2.413,0.041,2.22,288.572,53.822,368.121,37.652,0.538,0.575,41.731,19.47,122.081,165.611,1100.548,890.067,934.783,299.392,3.107,0.228,0.01,9.813,110.291,12.26,453.818,64.797,435.109,1535.657,1619.163
27,62,e9eab0bc5ccb9433ad7b0cbfc282e94d9c12b081b3dceaed3b8e3ae9a3d5c510,3,committee0,1789831860809445000,1789831861019877000,1789831861111852000,1789831861024078000,1789831860966922000,1789831860967081000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862351291000,0.481,4.441,210.432,6.081,146.955,0.221,57.175,0.986,148.404,60.611,87.774,-144.95,-145.422,-144.93,2.109,0.037,1.916,297.0,53.822,368.121,22.434,0.582,0.62,56.86,19.47,122.081,157.477,1100.543,890.111,942.907,299.392,3.107,0.228,0.01,9.813,110.291,12.737,453.818,-12.515,435.586,1536.129,1541.846
28,12,11fc0e0a056358c658dccce469e79815e84dc44092d953162308ce66c60de857,3,committee0,1789831860809450000,1789831861020216000,1789831861111852000,1789831861024151000,1789831861035211000,1789831861035357000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862396619000,0.486,71.58,210.766,7.192,146.989,1.578,55.007,0.362,147.892,60.158,87.701,-76.675,-76.964,-76.641,2.409,0.03,2.233,228.407,53.822,368.121,72.404,0.624,0.656,6.812,19.47,122.081,225.761,1100.538,889.772,874.631,299.392,3.107,0.228,0.01,9.813,110.291,12.394,453.818,32.813,435.243,1535.781,1587.169
29,58,e0ca9da14299cdff889d114444b4e2c24b3a52f1271b43a3c5dcd7967f97b9fe,3,committee0,1789831860809458000,1789831861020196000,1789831861111852000,1789831861024615000,1789831861035964000,1789831861036117000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862351274000,0.494,72.07,210.738,7.082,147.354,0.223,56.079,1.676,146.306,59.045,87.237,-75.913,-76.212,-75.888,2.493,0.039,2.172,227.708,53.822,368.121,73.689,0.621,0.672,5.514,19.47,122.081,226.506,1100.53,889.792,873.871,299.392,3.107,0.228,0.01,9.813,110.291,12.464,453.818,-12.532,435.313,1535.843,1541.816
30,45,45c2a743c699bbfe34f3df29ede542d68365c60934f25892d0352bba60917600,3,committee0,1789831860809640000,1789831861020017000,1789831861111852000,1789831861024342000,1789831861031919000,1789831861032067000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862419690000,0.676,67.266,210.377,5.135,149.878,0.262,55.102,0.122,147.089,59.567,87.51,-79.947,-80.267,-79.933,2.363,0.033,2.146,231.784,53.822,368.121,65.848,0.624,0.675,13.349,19.47,122.081,222.279,1100.348,889.971,877.921,299.392,3.107,0.228,0.01,9.813,110.291,12.214,453.818,55.884,435.063,1535.411,1610.05
31,51,b9e27dc1395edc46b3d4474b17df900c2736effb733b1ec35093d1193ad0338c,3,committee0,1789831860809714000,1789831861019896000,1789831861111852000,1789831861023885000,1789831860964926000,1789831860965378000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862351337000,0.75,2.484,210.182,5.511,147.217,1.505,55.949,0.134,149.302,61.309,87.967,-146.954,-148.913,-146.926,3.429,0.331,2.935,297.684,53.822,368.121,21.133,0.622,0.674,58.067,19.47,122.081,155.212,1100.274,890.092,944.61,299.392,3.107,0.228,0.01,9.813,110.291,12.401,453.818,-12.469,435.25,1535.524,1541.623
32,24,0abad9129bcc714d2e806c0490da038e398fa8889781f1f8ef25fd4840cc0fc9,3,committee0,1789831860809742000,1789831861019920000,1789831861111852000,1789831861024441000,1789831860965222000,1789831860965378000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862351433000,0.778,2.795,210.178,6.617,146.068,0.259,57.234,0.126,149.766,61.888,87.411,-147.098,-148.896,-146.63,2.45,0.032,2.253,298.366,53.822,368.121,19.811,0.63,0.686,59.369,19.47,122.081,155.48,1100.246,890.068,944.61,299.392,3.107,0.228,0.01,9.813,110.291,12.756,453.818,-12.373,435.605,1535.851,1541.691
33,20,e2a952800c4aeb55bb2da6bf087b3f6c77d72a58566cdf1ba46975a6b1343020,3,committee0,1789831860809743000,1789831861019985000,1789831861111852000,1789831861024427000,1789831860981126000,1789831860981277000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862428772000,0.779,17.269,210.242,7.376,146.738,0.24,55.888,0.992,147.167,59.578,87.425,-130.891,-131.089,-130.726,28.827,0.034,2.091,282.629,53.822,368.121,48.797,0.77,0.918,30.011,19.47,122.081,171.383,1100.245,890.003,928.711,299.392,3.107,0.228,0.01,9.813,110.291,12.78,453.818,64.966,435.629,1535.874,1619.029
34,21,753c9651d431a48087e2efb98634916646aa58f303fd4765b4a75ea2cf3456b6,3,committee0,1789831860809751000,1789831861020022000,1789831861111852000,1789831861024619000,1789831861024168000,1789831861024358000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862396729000,0.787,58.601,210.271,5.096,150.72,0.06,54.395,0.119,146.194,58.933,87.233,-87.714,-101.383,-87.684,3.842,0.071,3.615,238.024,53.822,368.121,54.42,0.623,0.672,24.781,19.47,122.081,214.417,1100.237,889.966,885.63,299.392,3.107,0.228,0.01,9.813,110.291,12.299,453.818,32.923,435.148,1535.385,1586.978
35,22,c6baf933479991055dae6677ce1b04dd8f4df681cdb13ffb905465d4f8947f6c,3,committee0,1789831860809759000,1789831861020000000,1789831861111852000,1789831861024603000,1789831860969357000,1789831860969505000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862428674000,0.795,6.921,210.241,5.816,146.861,0.238,57.326,0.138,149.293,62.029,87.249,-142.511,-142.816,-142.495,2.467,0.035,2.259,294.233,53.822,368.121,27.449,0.616,0.671,51.76,19.47,122.081,159.598,1100.229,889.988,940.483,299.392,3.107,0.228,0.01,9.813,110.291,12.714,453.818,64.868,435.563,1535.792,1618.915
