kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms
new_payment,af0ddbe144c2ac8c30cd9fbb5199def596048adc9f1c55734dfe45a633e56c57,,1789785402741722000,1789785402799338000,1789785402823409000,false,81920,6,57.616,0.003,0.119,0.003,23.946,23.823709,0.111333,0.0,81.687
block_follow,,2,1789785402800405000,1789785402823422000,1789785402845289000,false,98304,7,23.017,0.004,0.279,0.004,21.58,21.569,0.004833,0.00025,44.884
retry_status,6e216fcc784c1ebc0bc654b6843abe2c909500bc9a02674471cb8de7eb538c54,,1789785402831666000,1789785402845306000,1789785402857249000,false,65536,5,13.64,0.002,0.01,0.001,11.93,11.923875,0.002667,0.0,25.583
retry_status,6961a4998130b10880c8b6e04c64a2ee1d11cfc1b272bf82133ea501087e2bce,,1789785402834888000,1789785402857258000,1789785402873304000,false,65536,5,22.37,0.004,0.011,0.001,16.03,16.022875,0.003459,0.0,38.416
retry_status,8204b1c14afe2584cb61fbf8bba8e81747cd4e83aabb611921e05b039b10ccb6,,1789785402835473000,1789785402873311000,1789785402890316000,false,65536,5,37.838,0.002,0.007,0.001,16.995,16.989208,0.002667,0.0,54.843
retry_status,766188ac095060d7491cf5d0f504c7c5aa347039eddd3b490a5ed45a22c07c20,,1789785402836155000,1789785402890325000,1789785402908300000,false,65536,5,54.17,0.004,0.01,0.001,17.96,17.953958,0.003208,0.0,72.145
retry_status,887d2da1a6342c57768b679ac0a2af6f9f56a9f5b49a916f9f3589c3e701f87a,,1789785402956399000,1789785402956399000,1789785402971349000,false,65536,5,0.0,0.002,0.011,0.002,14.935,14.927375,0.003666,0.0,14.95
retry_status,9b8a97e55927dcf13f336bc2b8b5d9fa612ea4f115157843d08f3ddcad20118f,,1789785402957098000,1789785402971359000,1789785402979269000,false,65536,5,14.261,0.004,0.012,0.002,7.892,7.886625,0.003542,0.0,22.171
retry_status,9b3ee8ddacac5f9bd19d93d4b8d25d281ce1057dfdd6539fd7b4c1a7de992a7e,,1789785402957808000,1789785402979278000,1789785403005300000,false,65536,5,21.47,0.004,0.014,0.001,26.003,25.994417,0.003166,0.0,47.492
retry_status,9a6a6af36ba77aa540a02679a170045763caf653982ed2ada9ca724fc8847fa3,,1789785402958437000,1789785403005313000,1789785403030375000,false,65536,5,46.876,0.003,0.014,0.002,25.043,25.035708,0.003875,0.0,71.938
block_follow,,3,1789785402999149000,1789785403030434000,1789785403058343000,false,65536,5,31.285,0.007,0.018,0.003,27.881,27.872458,0.005083,0.0,59.194
retry_status,a16cbb55846495d0f9c803ba04ec64aa4664f7d6b30083f5ccdfe353d3776245,,1789785403096639000,1789785403096639000,1789785403125278000,false,65536,5,0.0,0.002,0.011,0.002,28.624,28.614583,0.003875,0.0,28.639
retry_status,a5511c09b0b987375d908891e2f7acac2cfcfaa1c3ce3b4b73b5e926124fe2a7,,1789785403113653000,1789785403125286000,1789785403144288000,false,65536,5,11.633,0.002,0.008,0.002,18.99,18.98425,0.003417,0.0,30.635
retry_status,9ed22a70abafc176129ed5bbca9cdeccb1cae4533fbdfdeac558adda52620600,,1789785403113657000,1789785403144297000,1789785403163260000,false,65536,5,30.64,0.004,0.01,0.002,18.947,18.941083,0.003291,0.0,49.603
retry_status,9ef907578798ddd63df3b5fe12f048178719501af4379d9b77e106694c50a131,,1789785403113677000,1789785403163267000,1789785403178303000,false,65536,5,49.59,0.003,0.009,0.002,15.022,15.017334,0.002958,0.0,64.626
retry_status,a68de36e0c9765eb489ef9342030363fdfba19c2190284908c2fdb9fd115b129,,1789785403214397000,1789785403214397000,1789785403239295000,false,65536,5,0.0,0.004,0.014,0.003,24.877,24.868916,0.004417,0.0,24.898
retry_status,b6dd2d314252c71ce51b02e3d890401621f5c91e0384db34eb1edb04264a2206,,1789785403219665000,1789785403239306000,1789785403254299000,false,65536,5,19.641,0.005,0.013,0.002,14.973,14.966958,0.0035,0.0,34.634
retry_status,ad6b1c4dce17946f3c0d21c281485c1cf2e3dfdbab05be0be165269161b8a193,,1789785403219672000,1789785403254309000,1789785403261301000,false,65536,5,34.637,0.002,0.011,0.002,6.977,6.970459,0.003375,0.0,41.629
retry_status,b7014a6dfbc742d7453ac788ca5f095e2ebefbfdfc58edb91d51846178d49dd2,,1789785403220380000,1789785403261311000,1789785403278338000,false,65536,5,40.931,0.003,0.01,0.002,17.012,17.006208,0.003625,0.0,57.958
block_follow,,4,1789785403324581000,1789785403324581000,1789785403363285000,false,98304,7,0.0,0.002,0.342,0.006,38.354,38.340458,0.006791,0.00325,38.704
retry_status,bbe2f5d4880de359cd3fc291a22475d336ac1fbe8a2fcdc7b8c2772c87114d89,,1789785403333713000,1789785403363307000,1789785403378297000,false,65536,5,29.594,0.002,0.009,0.001,14.978,14.970875,0.00325,0.0,44.584
retry_status,b8e806d80f71c3208f7a17d370a249c623b0612ee17bad4c645e9b1f2f5e08e1,,1789785403334429000,1789785403378312000,1789785403410304000,false,65536,5,43.883,0.003,0.012,0.002,31.975,31.968709,0.003708,0.0,75.875
retry_status,c0a5d70addda3c04ee0a03f7373455b4b9127a3aad271811d8beb4656ea562e6,,1789785403335102000,1789785403410317000,1789785403438327000,false,65536,5,75.215,0.004,0.013,0.002,27.991,27.982625,0.004167,0.0,103.225
retry_status,bfaa4f24093fb125bfec1f0b712382fa52300dba49bb3852a50809951058bd8f,,1789785403359627000,1789785403438335000,1789785403454319000,false,65536,5,78.708,0.002,0.008,0.001,15.973,15.965458,0.004125,0.0,94.692
new_payment,b98dab03d6e36ce0e113a25228f31699996305651cc0536492f1833e604a1332,,1789785403425887000,1789785403454329000,1789785403485299000,false,81920,6,28.442,0.002,0.01,0.004,30.954,30.945959,0.004166,0.0,59.412
retry_status,d352ccdc289ade3130dd4b3282cfc685480e888632a0ebea5f8c7ee77dbe357d,,1789785403489556000,1789785403489556000,1789785403544354000,false,65536,5,0.0,0.002,0.009,0.002,54.785,54.775417,0.003834,0.0,54.798
retry_status,c4a5ac5feb558c77480e45d8370d249b07e993759fb36d63031e96d9d7c822e4,,1789785403512422000,1789785403544373000,1789785403566314000,false,65536,5,31.951,0.004,0.01,0.002,21.925,21.918125,0.003292,0.0,53.892
