kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms,index,save_start_ns,save_end_ns,picked_ns,save_ms,pre_store_ms,queue_ms,queue_during_groups_ms,queue_during_scans_ms,queue_other_ms
new_payment,56764ac5a91598c9cc9b655d95c192e2ff3e7e53c167e9ff9f8db02759b666e0,,1789785401972536000,1789785402589261000,1789785402597285000,false,81920,6,616.725,0.002,0.007,0.003,8.012,8.007417,0.003,0.0,624.749,34,1789785401960003000,1789785402597289000,1789785405933508000,637.286,12.533,3336.219,3302.812,0.137,33.27000000000015
new_payment,b6dd2d314252c71ce51b02e3d890401621f5c91e0384db34eb1edb04264a2206,,1789785401959386000,1789785402312281000,1789785402327330000,false,81920,6,352.895,0.003,0.016,0.003,15.027,15.021458,0.003792,0.0,367.944,35,1789785401959202000,1789785402327334000,1789785403178332000,368.132,0.184,850.998,850.959,0.035,0.004000000000100951
new_payment,c991cd0a64c6275716c02996d2c706ed548c1cb32b05f2d8183a81b548d43fa1,,1789785401972663000,1789785402605294000,1789785402613293000,false,98304,7,632.631,0.001,0.009,0.002,7.987,7.978833,0.004667,0.0,640.63,36,1789785401959962000,1789785402613300000,1789785403454344000,653.338,12.701,841.044,840.985,0.052,0.00699999999996908
new_payment,149c63f8b3a9c09be100035ed6bc01d50c57cf89041f4b8e5fd6a7cc68eaa3ff,,1789785401959525000,1789785402440369000,1789785402465345000,false,98304,7,480.844,0.003,0.011,0.004,24.958,24.9495,0.004375,0.0,505.82,37,1789785401959331000,1789785402465359000,1789785404636498000,506.028,0.194,2171.139,2137.775,0.102,33.262000000000036
new_payment,a16cbb55846495d0f9c803ba04ec64aa4664f7d6b30083f5ccdfe353d3776245,,1789785401959028000,1789785402216326000,1789785402231277000,false,81920,6,257.298,0.003,0.011,0.004,14.933,14.927292,0.004,0.0,272.249,38,1789785401958846000,1789785402231282000,1789785403030461000,272.436,0.182,799.179,799.141,0.035,0.0030000000000109106
new_payment,21b3b9155d7d66050cff58251f3dab051679345338148719dafcda257c5d50d0,,1789785401972874000,1789785402669290000,1789785402677263000,false,81920,6,696.416,0.001,0.008,0.003,7.961,7.956709,0.002625,0.0,704.389,39,1789785401959932000,1789785402677268000,1789785404991411000,717.336,12.942,2314.143,2280.778,0.102,33.26300000000024
new_payment,f491b5dc0511276a2e7fff64fef21bb500fb5d1f59f95029939e44df8b106f0b,,1789785401959494000,1789785402401287000,1789785402408276000,false,98304,7,441.793,0.003,0.011,0.002,6.973,6.961667,0.005208,0.0,448.782,40,1789785401959123000,1789785402408281000,1789785404266363000,449.158,0.371,1858.082,1858.007,0.067,0.00800000000004547
new_payment,27fa21c300b66baac105e48392ffad8b4485102ae3a93caa670c1755aed4e3f7,,1789785401959457000,1789785402364370000,1789785402379283000,false,81920,6,404.913,0.004,0.011,0.003,14.895,14.88675,0.004209,0.0,419.826,41,1789785401959270000,1789785402379293000,1789785405215345000,420.023,0.187,2836.052,2802.686,0.102,33.26399999999999
new_payment,6e216fcc784c1ebc0bc654b6843abe2c909500bc9a02674471cb8de7eb538c54,,1789785401958654000,1789785402066296000,1789785402081277000,false,81920,6,107.642,0.005,0.014,0.003,14.959,14.951125,0.004625,0.0,122.623,42,1789785401947474000,1789785402081282000,1789785402781333000,133.808,11.18,700.051,700.013,0.035,0.0030000000000109106
new_payment,e2e931574819d070b7fe8a257b98036754cc81cd9610e9a71a57b6a76aa2fcd0,,1789785401959871000,1789785402573324000,1789785402581239000,false,98304,7,613.453,0.003,0.01,0.002,7.9,7.891875,0.005041,0.0,621.368,43,1789785401959628000,1789785402581243000,1789785403712395000,621.615,0.243,1131.152,1131.093,0.052,0.00699999999996908
new_payment,09f324bfb00e3e1c03125efb1fe07c2cb61ddc2daa374a53cbd54e8d04c997e8,,1789785401958945000,1789785402156324000,1789785402201305000,false,81920,6,197.379,0.001,0.014,0.003,44.963,44.955875,0.003625,0.0,242.36,44,1789785401947858000,1789785402201313000,1789785404498629000,253.455,11.087,2297.316,2263.952,0.102,33.26199999999958
