order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
52,21,65cffb60a4c04a9e988a424c3e39d9111f4ad84efbb840bfb5662ca926b61110,3,committee1,1789836519620117000,1789836519865282000,1789836519868099000,1789836519826222000,1789836519797475000,1789836519797633000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520809542000,0.956,19.034,245.165,4.247,154.077,0.115,86.726,0.164,89.625,47.617,41.877,-70.755,-70.953,-70.624,2.368,0.043,2.173,207.392,0.25,266.705,2.873,0.003,0.062,1.647,32.323,98.085,177.358,789.03,543.865,611.514,272.272,16.363,0.229,0.01,9.563,27.528,5.22,382.902,17.493,331.193,1120.223,1189.425
53,51,def3aeafa3a452d8c5b4d8027feedc3dcf3595a607572d49c98c468d7df4be69,3,committee1,1789836519620120000,1789836519778067000,1789836519778055000,1789836519754276000,1789836519754637000,1789836519754813000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520826625000,0.959,1.609,157.947,6.336,126.572,0.521,24.518,0.392,24.977,0.856,23.779,-23.762,-24.357,-23.418,1.279,0.054,1.049,251.336,0.25,266.705,0.172,0.003,0.052,4.358,32.323,98.085,134.517,789.027,631.08,654.334,272.272,16.363,0.229,0.01,9.563,27.528,-5.064,382.902,34.576,320.909,1109.936,1206.505
54,55,65095937f4e1aaf830ebaf0b287d4342460843693486f0ee6dde9c79e1159542,3,committee1,1789836519620125000,1789836519865323000,1789836519826091000,1789836519778370000,1789836519757662000,1789836519757820000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520826380000,0.964,2.927,245.198,8.295,126.315,24.078,86.51,0.136,71.368,23.499,47.721,-68.577,-68.75,-68.429,7.547,0.041,2.184,247.194,0.25,266.705,0.629,0.003,0.052,3.901,32.323,98.085,137.537,789.022,543.824,651.327,272.272,16.363,0.229,0.01,9.563,27.528,5.537,382.902,34.331,331.51,1120.532,1206.255
55,24,5f77bc56de6ce40d8bda438a900c0287903136cff048882b30f321c6fac132d2,3,committee1,1789836519620128000,1789836519865409000,1789836519868099000,1789836519826334000,1789836519786836000,1789836519786984000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520828821000,0.967,20.979,245.281,4.602,141.127,13.357,86.195,0.137,102.251,60.34,41.765,-81.41,-81.583,-81.263,2.255,0.033,2.075,218.139,0.25,266.705,1.41,0.003,0.045,3.127,32.323,98.085,166.708,789.019,543.738,622.163,272.272,16.363,0.229,0.01,9.563,27.528,5.315,382.902,36.772,331.288,1120.307,1208.693
56,52,c620f27fd121eee95e58a361b2dca356266c45abef08749651d79db575173498,3,committee1,1789836519620131000,1789836519829190000,1789836519826091000,1789836519778428000,1789836519787477000,1789836519787622000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520825414000,0.97,29.051,209.059,5.486,132.809,6.019,64.745,6.62,61.183,13.382,47.663,-38.753,-38.941,-38.614,2.29,0.03,2.109,217.467,0.25,266.705,1.462,0.003,0.046,3.074,32.323,98.085,167.346,789.016,579.957,621.525,272.272,16.363,0.229,0.01,9.563,27.528,-5.058,382.902,33.365,320.915,1109.931,1205.283
57,49,30026812aecee34456713d70a5780ff2e8af9cf9c353991334ffc193fc97c65f,3,committee1,1789836519620145000,1789836519865340000,1789836519868099000,1789836519826322000,1789836519819249000,1789836519819481000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520809503000,0.984,53.677,245.195,10.127,135.3,13.835,85.933,13.719,88.933,47.031,41.777,-48.977,-63.471,-48.85,1.062,0.106,0.795,186.922,0.25,266.705,3.513,0.003,0.044,1.026,32.323,98.085,199.104,789.002,543.807,589.666,272.272,16.363,0.229,0.01,9.563,27.528,5.344,382.902,17.454,331.317,1120.319,1189.358
58,13,f958696ac74b0b07ef5c3ac5d5ba266713d2b1e9e7355d3d97b889ee2cebf5fb,3,committee1,1789836519620172000,1789836519865361000,1789836519868099000,1789836519826350000,1789836519843187000,1789836519843364000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520825430000,1.011,77.595,245.189,1.717,143.703,13.685,86.084,13.356,89.286,47.402,41.749,-25.048,-25.237,-24.912,2.426,0.04,2.209,161.625,0.25,266.705,4.188,0.007,0.057,0.333,32.323,98.085,223.015,788.975,543.786,565.783,272.272,16.363,0.229,0.01,9.563,27.528,5.434,382.902,33.381,331.407,1120.382,1205.258
59,17,307cb1b549fd4484d1747dd59a387116b48fab9e9e518fb5353155853bb6f890,3,committee1,1789836519620475000,1789836519829130000,1789836519826091000,1789836519778440000,1789836519780377000,1789836519780629000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520827070000,1.314,15.687,208.655,4.336,139.879,0.169,64.271,0.152,61.392,13.598,47.651,-45.857,-60.04,-45.714,2.392,0.094,1.906,224.663,0.25,266.705,0.868,0.002,0.047,3.668,32.323,98.085,159.902,788.672,580.017,628.518,272.272,16.363,0.229,0.01,9.563,27.528,-5.066,382.902,35.021,320.907,1109.579,1206.595
60,48,3534456f729db821cd31597b9c5c6596516225955b42d3cd870e844db2578ea8,3,committee1,1789836519620529000,1789836519865200000,1789836519826091000,1789836519778393000,1789836519826333000,1789836519826504000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520827576000,1.368,72.578,244.671,6.378,126.848,11.285,100.16,1.248,71.222,23.39,47.698,0.106,-6.569,0.242,1.64,0.045,1.337,179.357,0.25,266.705,3.614,0.003,0.044,0.924,32.323,98.085,205.804,788.618,543.947,582.643,272.272,16.363,0.229,0.01,9.563,27.528,5.487,382.902,35.527,331.46,1120.078,1207.047
61,15,176705efcf1f3381951b8bb04872e60acd25a548a53c222717653fd5fcd57adc,3,committee1,1789836519620537000,1789836519865363000,1789836519868099000,1789836519826280000,1789836519791453000,1789836519791604000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520796582000,1.376,12.707,244.826,5.882,152.327,0.217,86.4,0.126,89.381,47.408,41.819,-76.801,-76.966,-76.646,2.315,0.038,2.135,213.459,0.25,266.705,1.794,0.003,0.054,2.734,32.323,98.085,170.916,788.61,543.784,617.543,272.272,16.363,0.229,0.01,9.563,27.528,5.447,382.902,4.533,331.42,1120.03,1176.045
