order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
14,35,e8f2db3d5c92c9d18fa1c14e962fce4d627163e56b1173eedaeb193f3a925bad,3,committee1,1789831905009345000,1789831905189971000,1789831905253944000,1789831905209054000,1789831905167311000,1789831905167479000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906288236000,0.337,38.529,180.626,2.093,117.344,0.157,61.032,0.12,125.075,80.152,44.89,-86.667,-86.97,-86.633,2.555,0.045,2.289,205.352,0.214,311.655,2.91,0.003,0.049,1.535,40.462,101.098,157.966,823.702,643.076,665.568,259.254,4.123,0.234,0.008,9.154,92.398,0.278,407.3,47.889,365.458,1189.16,1278.891
15,46,ead578dd32f2f9f54bd611121c11cbece736da72f142b1e363d5d07a91a8f9dc,3,committee1,1789831905009361000,1789831905211972000,1789831905253944000,1789831905209419000,1789831905140630000,1789831905140783000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906287707000,0.353,10.997,202.611,1.105,119.167,39.834,42.505,0.23,124.129,79.556,44.525,-113.362,-113.64,-113.314,2.351,0.037,2.165,232.172,0.214,311.655,1.923,0.003,0.043,2.528,40.462,101.098,131.269,823.686,621.075,692.264,259.254,4.123,0.234,0.008,9.154,92.398,-0.095,407.3,47.36,365.085,1188.771,1278.346
16,5,7b1239af23a88f270e71560b2c604c9cfe5ce3dcab8765b6e31091fa40702dc0,3,committee1,1789831905009378000,1789831905168967000,1789831905208946000,1789831905131370000,1789831905120560000,1789831905130017000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906287239000,0.37,24.866,159.589,3.64,82.676,5.454,67.819,0.153,113.167,35.523,77.576,-88.455,-106.473,-88.386,10.496,0.425,0.985,244.118,0.214,311.655,1.041,0.002,0.043,3.411,40.462,101.098,111.182,823.669,664.08,703.03,259.254,4.123,0.234,0.008,9.154,92.398,0.253,407.3,46.892,365.433,1189.102,1277.861
17,42,fb3e55baa4bc5e7bc52bb166c12a26707a903de23c890b93a13631ad6259da17,3,committee1,1789831905009381000,1789831905211948000,1789831905253944000,1789831905209319000,1789831905153701000,1789831905153880000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906238508000,0.373,32.724,202.567,5.241,106.355,48.835,42.136,8.641,124.339,79.701,44.625,-100.257,-100.576,-100.243,12.544,0.052,12.328,208.912,0.214,311.655,2.625,0.003,0.049,1.82,40.462,101.098,144.32,823.666,621.099,679.167,259.254,4.123,0.234,0.008,9.154,92.398,-11.179,407.3,-1.839,354.001,1177.667,1229.127
18,41,6187f5f6936efdbf1d7852c20a4b6c2391271ba26fa307517b2169bc6726ae7a,3,committee1,1789831905009383000,1789831905190038000,1789831905253944000,1789831905209350000,1789831905152987000,1789831905153139000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270333000,0.375,24.451,180.655,3.069,116.084,0.372,61.13,0.522,124.919,80.292,44.594,-100.991,-101.257,-100.957,12.458,0.047,12.255,209.726,0.214,311.655,2.568,0.003,0.051,1.876,40.462,101.098,143.604,823.664,643.009,679.908,259.254,4.123,0.234,0.008,9.154,92.398,-0.036,407.3,29.986,365.144,1188.808,1260.95
19,33,89878118b6c8bc6bc88c561d701e752ec5c3f112c7065fbfa03e893ac2e3a4aa,3,committee1,1789831905009384000,1789831905211994000,1789831905253944000,1789831905209450000,1789831905139299000,1789831905139447000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906252194000,0.376,8.372,202.61,4.991,116.552,18.427,62.64,0.131,122.934,78.392,44.494,-114.694,-114.987,-114.645,2.331,0.031,2.149,233.524,0.214,311.655,1.817,0.003,0.048,2.629,40.462,101.098,129.915,823.663,621.053,693.6,259.254,4.123,0.234,0.008,9.154,92.398,-0.021,407.3,11.847,365.159,1188.822,1242.81
20,47,42351fcae766e964d1e972413dfcaf26ff1ae9f93e957963da864d69e81c4ea0,3,committee1,1789831905009387000,1789831905190036000,1789831905253944000,1789831905209653000,1789831905143308000,1789831905143461000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270345000,0.379,13.231,180.649,1.0,119.69,19.257,40.702,1.38,122.539,78.196,44.291,-110.689,-110.96,-110.636,5.732,0.036,2.139,229.52,0.214,311.655,2.126,0.002,0.042,2.327,40.462,101.098,133.921,823.66,643.011,689.586,259.254,4.123,0.234,0.008,9.154,92.398,0.245,407.3,29.998,365.425,1189.085,1260.958
21,9,132e13216b90196bbae2464bb858b9d5a1819d4ac9cfe4e113f2619aea5cd7b6,3,committee1,1789831905009391000,1789831905212012000,1789831905253944000,1789831905209496000,1789831905149787000,1789831905150112000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906238639000,0.383,20.599,202.621,6.203,113.594,40.555,42.269,1.889,122.907,78.419,44.448,-104.201,-104.794,-104.157,2.418,0.131,1.84,223.168,0.214,311.655,2.274,0.003,0.055,2.165,40.462,101.098,140.396,823.656,621.035,682.935,259.254,4.123,0.234,0.008,9.154,92.398,-11.196,407.3,-1.708,353.984,1177.64,1229.248
22,11,2b1e46387d76e4cc5e136d930a66138c876cef0f32466e553c21bf787047878e,3,committee1,1789831905009405000,1789831905168978000,1789831905208946000,1789831905131263000,1789831905100043000,1789831905100203000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906287236000,0.397,4.768,159.573,1.42,84.45,5.939,67.764,0.13,113.587,35.858,77.683,-108.949,-109.219,-108.903,2.415,0.04,2.208,272.709,0.214,311.655,0.835,0.003,0.044,3.615,40.462,101.098,90.638,823.642,664.069,732.844,259.254,4.123,0.234,0.008,9.154,92.398,-0.139,407.3,46.889,365.041,1188.683,1277.831
23,59,690cb37dca1bc909edb7aa0a598c615c5c9fd6a52711cd3bf9b5fbeada639446,3,committee1,1789831905009434000,1789831905189982000,1789831905253944000,1789831905209077000,1789831905133875000,1789831905134032000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906252416000,0.426,12.965,180.548,4.447,107.029,7.858,61.214,7.66,125.402,80.507,44.867,-120.098,-120.402,-120.069,2.384,0.037,2.192,238.896,0.214,311.655,1.393,0.003,0.042,3.059,40.462,101.098,124.441,823.613,643.065,699.015,259.254,4.123,0.234,0.008,9.154,92.398,-0.134,407.3,12.069,365.046,1188.659,1242.982
24,14,98b1f534b4dd16916fc45a78d077408b0fd73bc8c2bee6ab474d1ac02c988a6b,3,committee1,1789831905009745000,1789831905189962000,1789831905253944000,1789831905208993000,1789831905132019000,1789831905132396000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270349000,0.737,11.441,180.217,1.075,109.758,0.115,69.269,0.209,133.177,88.206,44.951,-121.948,-133.098,-121.925,1.504,0.084,1.083,241.641,0.214,311.655,1.19,0.003,0.043,3.261,40.462,101.098,122.274,823.302,643.085,700.651,259.254,4.123,0.234,0.008,9.154,92.398,0.264,407.3,30.002,365.444,1188.746,1260.604
25,8,8ceae6ab9c916644dffd6c0d620356b2ed95068fb24bbcb879214210e5c05e96,3,committee1,1789831905009749000,1789831905168963000,1789831905208946000,1789831905131223000,1789831905096141000,1789831905096302000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906287259000,0.741,3.18,159.214,1.784,81.428,0.148,75.854,0.144,115.872,38.118,77.723,-112.837,-113.218,-112.805,2.234,0.043,2.029,276.789,0.214,311.655,0.502,0.003,0.051,3.941,40.462,101.098,86.392,823.298,664.084,736.745,259.254,4.123,0.234,0.008,9.154,92.398,-0.119,407.3,46.912,365.061,1188.359,1277.51
26,53,12d9392df12d6532f4e368e0a3162658aa03a4bff3799abd7fe00d7c3bd700a5,3,committee1,1789831905009753000,1789831905211974000,1789831905253944000,1789831905209344000,1789831905171546000,1789831905171697000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270318000,0.745,41.944,202.221,4.2,115.649,39.994,42.378,0.275,124.096,79.467,44.6,-82.428,-82.733,-82.398,2.345,0.035,2.161,201.262,0.214,311.655,3.777,0.004,0.068,0.649,40.462,101.098,161.793,823.294,621.073,661.35,259.254,4.123,0.234,0.008,9.154,92.398,-0.265,407.3,29.971,364.915,1188.209,1260.565
27,23,06e0167968fb2976a4b14b8de852b8cb86325d2fc9427312dbd57a52bac242e8,3,committee1,1789831905009757000,1789831905211977000,1789831905253944000,1789831905209519000,1789831905135921000,1789831905136079000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906238424000,0.749,6.78,202.22,1.109,118.275,40.375,42.461,1.86,122.987,78.518,44.425,-118.068,-118.358,-118.023,2.363,0.04,2.169,236.872,0.214,311.655,1.553,0.003,0.044,2.897,40.462,101.098,126.164,823.29,621.07,696.968,259.254,4.123,0.234,0.008,9.154,92.398,-0.222,407.3,-1.923,364.958,1188.248,1228.667
28,48,aeb4ddb3fff9ac3483975e249f582afdad07ada26919d4de46295909258a4c6d,3,committee1,1789831905009794000,1789831905190011000,1789831905253944000,1789831905209385000,1789831905155103000,1789831905155283000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270328000,0.786,34.526,180.217,0.983,109.8,0.329,69.105,9.137,124.277,79.671,44.559,-98.889,-99.205,-98.841,12.552,0.058,12.331,207.506,0.214,311.655,2.744,0.003,0.047,1.704,40.462,101.098,145.309,823.253,643.036,677.764,259.254,4.123,0.234,0.008,9.154,92.398,0.272,407.3,29.981,365.452,1188.705,1260.534
29,22,cbf709c786a467b9a71b5d34e740928664132d6d49186ea748a97d85ba97ae8d,3,committee1,1789831905009799000,1789831905211982000,1789831905253944000,1789831905209638000,1789831905166593000,1789831905166756000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906287237000,0.791,35.257,202.183,1.237,120.3,18.152,62.494,0.182,122.478,78.12,44.306,-87.404,-87.679,-87.351,2.433,0.047,2.207,206.157,0.214,311.655,2.852,0.004,0.049,1.593,40.462,101.098,156.794,823.248,621.065,666.291,259.254,4.123,0.234,0.008,9.154,92.398,-11.155,407.3,46.89,354.025,1177.273,1277.438
30,21,25eeb127ea21aa73e85d77572d75d2b42fdfe79397d306d6dcaff3381fcc5766,3,committee1,1789831905009817000,1789831905189989000,1789831905253944000,1789831905209396000,1789831905133193000,1789831905133345000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906288060000,0.809,12.554,180.172,1.257,109.565,0.125,69.225,8.483,124.862,80.274,44.548,-120.793,-121.116,-120.751,2.39,0.039,2.205,239.57,0.214,311.655,1.343,0.003,0.043,3.108,40.462,101.098,123.376,823.23,643.058,699.702,259.254,4.123,0.234,0.008,9.154,92.398,-0.067,407.3,47.713,365.113,1188.343,1278.243
31,32,d88acb2587c3fe6c1e507ac125898c709c5e3ecce0054486a47118ad592ffa7e,3,committee1,1789831905009862000,1789831905168964000,1789831905208946000,1789831905127955000,1789831905093929000,1789831905094309000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906288038000,0.854,1.35,159.102,2.035,80.682,0.343,76.042,0.15,116.26,35.226,80.991,-115.061,-116.066,-115.017,2.985,0.26,2.567,278.244,0.214,311.655,0.351,0.004,0.057,4.085,40.462,101.098,84.067,823.185,664.083,738.738,259.254,4.123,0.234,0.008,9.154,92.398,-0.137,407.3,47.691,365.043,1188.228,1278.176
