order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
23,46,12d93e478a03fab7b5f7fdd8d90d96fd5218e9aa9a7a15005d9339ced92f6508,2,committee2,1789836540799950000,1789836540877007000,1789836540877009000,1789836540858198000,1789836540858476000,1789836540858638000,1789836541163966000,1789836541482008000,1789836541523062000,1789836541533755000,0.855,0.648,77.057,2.192,55.686,0.144,19.035,0.158,19.04,0.212,18.811,-18.551,-18.929,-18.533,1.076,0.045,0.862,11.006,0.005,232.585,0.006,0.006,0.118,0.02,34.862,25.857,58.526,364.016,286.959,305.328,292.469,0.607,0.106,0.006,0.04,24.659,-4.943,359.096,10.693,313.099,677.115,733.805
24,40,b741a74a9e4db98adb88a73514758a06093256bbf636b86ef01ee45a1770f7c0,3,committee1,1789836540799953000,1789836540961046000,1789836540956984000,1789836540933783000,1789836540934432000,1789836540934612000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541912049000,0.858,27.309,161.093,4.799,102.371,9.219,44.704,9.07,40.98,17.59,23.201,-22.742,-30.427,-22.552,2.011,0.058,1.794,223.737,0.539,308.4,0.9,0.003,0.051,3.785,49.241,28.97,134.479,752.08,590.987,617.421,236.306,4.541,0.223,0.01,1.161,27.733,-6.542,318.028,41.988,271.384,1023.464,1112.096
25,5,323441c4f05fa4c0415277a2e9b6a9a9e38d9498a04dad61de24601bb157ec17,3,committee1,1789836540799958000,1789836540961062000,1789836540956984000,1789836540933818000,1789836540985851000,1789836540986003000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541871557000,0.863,78.807,161.104,9.93,97.156,9.187,44.831,9.563,40.591,17.211,23.166,28.652,28.536,28.867,2.4,0.039,2.218,171.922,0.539,308.4,3.295,0.004,0.052,1.389,49.241,28.97,185.893,752.075,590.971,566.03,236.306,4.541,0.223,0.01,1.161,27.733,0.341,318.028,1.496,278.267,1030.342,1071.599
26,23,f19404a209c3512ec8df5d9b90d812e8991a782954b2ced6497f2a50631df394,3,committee1,1789836540799959000,1789836540984995000,1789836540981045000,1789836540957228000,1789836541007220000,1789836541007450000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541892420000,0.864,80.402,185.036,4.861,121.998,0.095,58.082,6.93,47.477,23.48,23.817,25.994,25.846,26.175,2.025,0.115,1.76,150.933,0.539,308.4,4.358,0.003,0.059,0.319,49.241,28.97,207.261,752.074,567.038,544.583,236.306,4.541,0.223,0.01,1.161,27.733,5.231,318.028,22.359,283.157,1035.231,1092.461
27,7,f0404614fbf77e3e7ab3cf83c70d2f4efd618348723d03012ddd5fce834fed3c,3,committee1,1789836540799960000,1789836540984968000,1789836540981045000,1789836540957191000,1789836541006567000,1789836541006716000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541892541000,0.865,73.206,185.008,7.475,125.926,6.067,45.54,0.135,47.715,23.695,23.854,25.356,25.166,25.522,2.016,0.032,1.826,151.601,0.539,308.4,4.297,0.003,0.053,0.386,49.241,28.97,206.607,752.073,567.065,545.317,236.306,4.541,0.223,0.01,1.161,27.733,5.193,318.028,22.48,283.119,1035.192,1092.581
28,58,de859ffb3bdcbf676161334d0431abc02d6466690a498ae657ad18b9fc17fdff,3,committee1,1789836540799962000,1789836540939124000,1789836540956984000,1789836540932991000,1789836540977734000,1789836540977894000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541870524000,0.867,79.494,139.162,2.601,95.677,8.118,32.766,0.12,58.805,34.631,23.993,20.568,20.383,20.75,2.314,0.042,2.118,180.131,0.539,308.4,2.699,0.003,0.061,1.976,49.241,28.97,177.772,752.071,612.909,574.139,236.306,4.541,0.223,0.01,1.161,27.733,0.509,318.028,0.463,278.435,1030.506,1070.562
29,13,ff2bc87b1039c76e88059e2b133b2e0b6e28749880ac45e98cafd43526336fe2,3,committee1,1789836540799964000,1789836540939361000,1789836540932957000,1789836540916604000,1789836541008565000,1789836541008715000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541870886000,0.869,101.981,139.397,4.465,102.155,0.171,32.606,0.146,27.017,9.874,16.353,74.817,75.278,75.608,1.974,0.035,1.785,149.643,0.539,308.4,4.487,0.003,0.054,0.195,49.241,28.97,208.601,752.069,612.672,543.318,236.306,4.541,0.223,0.01,1.161,27.733,0.376,318.028,0.825,278.302,1030.371,1070.922
30,16,76bc5ac91ba6e2c997252c9173d2b2d5b7bb5ff903c9aaee7f2c5fe8c491113c,3,committee1,1789836540799964000,1789836540939199000,1789836540932957000,1789836540916527000,1789836540916919000,1789836540917103000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541892354000,0.869,19.373,139.235,4.353,93.229,0.148,41.505,0.127,35.808,18.854,16.43,-16.563,-16.455,-16.038,9.203,0.067,1.763,241.277,0.539,308.4,0.599,0.003,0.051,4.086,49.241,28.97,116.955,752.069,612.834,634.93,236.306,4.541,0.223,0.01,1.161,27.733,0.209,318.028,22.293,278.135,1030.204,1092.39
31,50,56f3c9f5e681332f1583d01db35a041105c39f946dd465d16c1173b15b3420c2,3,committee1,1789836540799964000,1789836540939276000,1789836540956984000,1789836540933835000,1789836540986549000,1789836540986699000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541912006000,0.869,80.147,139.312,3.121,103.317,0.189,32.685,10.395,40.415,17.038,23.149,29.337,29.233,29.565,2.425,0.034,2.236,171.208,0.539,308.4,3.366,0.003,0.053,1.317,49.241,28.97,186.585,752.069,612.757,565.334,236.306,4.541,0.223,0.01,1.161,27.733,9.477,318.028,41.945,287.403,1039.472,1112.042
32,20,5bf773799360ff08b8cbcf280c9188bce14b16e07446e4a7e4234b2e8b513657,3,committee1,1789836540799969000,1789836540939360000,1789836540932957000,1789836540916564000,1789836540997550000,1789836540997710000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541892403000,0.874,99.865,139.391,3.465,94.251,0.193,41.482,0.133,35.67,18.746,16.393,64.061,64.243,64.593,6.15,0.04,5.931,156.502,0.539,308.4,3.853,0.003,0.057,0.826,49.241,28.97,197.581,752.064,612.673,554.323,236.306,4.541,0.223,0.01,1.161,27.733,0.361,318.028,22.342,278.287,1030.351,1092.434
