order,index,height,fact,proposer,first_submitter,sent_ns,fast_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,send_offset_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,gateway_persist_ms,gateway_queue_ms,install_fanout_ms,response_to_committee_ms,fast_to_committee_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_observe_lag_ms,member_apply_from_commit_ms,block_observed_ms,members_observed_ms
25,26,6,f1df926c8f2e7e33e26e33e94ed06f903b3969af2f33eef935ded994c2db139c,committee2,org0-member3,1789786997345535000,1789786997562331000,1789786998651243000,1789786999464144000,1789786999797174000,1789786999839129000,1.311,216.795833,0.386,164.546,2.981,48.883,58.662,1056.107,43.708,1140.776,1088.912,0.043,2.822,404.23,24.852,275.204,11.179,0.601,0.711,2.646,54.73,35.925,2118.609,296.245,13.343,0.247,0.017,1.492,21.652,15.291,12.76,374.985,2466.932375,2506.35725
26,22,3,531fd6aaaa9682404c73bd627064e646b8d65afd353aa9f4b5380269410d3e09,committee1,gateway0,1789786997345548000,1789786997562308000,1789786997601456000,1789786998150219000,1789786998486171000,1789786998574156000,1.324,216.76025,0.429,164.005,4.12,48.206,59.108,0.042,31.868,91.474,39.148,0.05,0.825,228.256,3.855,224.824,0.008,0.779,0.856,5.845,61.458,22.056,804.671,310.228,0.967,0.28,0.009,0.742,23.718,1.163,14.306,423.937,1141.7875,1242.915875
27,58,4,b3a16bb126251d71ba5d19ea2f5c1d27be460d2840b395c1bc171fb9dbd7bd22,committee0,gateway0,1789786997345598000,1789786997562301000,1789786998094577000,1789786998557321000,1789786998939207000,1789786998955133000,1.374,216.704083,0.873,163.446,4.736,47.648,59.185,457.032,67.903,584.66,532.276,0.037,0.807,88.966,11.273,294.53,21.242,0.697,0.889,5.143,15.103,24.093,1211.723,330.08,2.375,0.134,0.008,2.773,46.509,0.391,-0.698,397.812,1594.002625,1608.84
28,29,4,8af02f4ef24a45161a0eed68ff51846d44be78f5d61e8e580e8ba88951502b74,committee0,gateway0,1789786997345617000,1789786997562229000,1789786997921371000,1789786998557321000,1789786998939207000,1789786998955133000,1.393,216.612625,3.647,160.777,3.266,48.922,59.051,296.016,55.561,411.33,359.142,0.039,1.466,261.513,11.273,294.53,11.232,0.641,0.858,15.24,15.103,24.093,1211.704,330.08,2.375,0.134,0.008,2.773,46.509,-10.634,-4.976,397.812,1582.958584,1604.542417
29,31,4,6297b680a607c941ae95eb61836355aa4b38fd5a70797046f8fbb0aac29c14e1,committee0,gateway0,1789786997345623000,1789786997562273000,1789786997697350000,1789786998557321000,1789786998939207000,1789786998955133000,1.399,216.650417,6.724,157.997,4.36,47.569,58.766,72.031,55.772,187.006,135.077,0.056,1.467,485.533,11.273,294.53,1.464,0.59,0.768,25.15,15.103,24.093,1211.698,330.08,2.375,0.134,0.008,2.773,46.509,0.376,-4.702,397.812,1593.96225,1604.810334
30,21,7,190d2790450b761f4e720d8ff599eec865f3863053c2efbdffad08cea39c7b0f,committee1,gateway0,1789786997345626000,1789786997562252000,1789786999049626000,1789786999854190000,1789787000205144000,1789787000239113000,1.402,216.626375,0.909,164.495,2.953,48.269,58.07,1392.07,65.333,1538.596,1487.374,0.109,1.386,444.293,25.088,251.007,8.036,0.553,0.736,15.049,38.338,20.077,2508.564,301.219,3.078,0.122,0.01,2.282,44.235,7.15,-5.653,384.923,2866.671708,2887.837875
31,55,5,ccbc6237d0395588e7470a021c9996214b70c13bc2070f98e2f3f46d98ed4ff8,committee3,gateway0,1789786997345633000,1789786997530331000,1789786998331416000,1789786999036145000,1789786999400151000,1789786999454168000,1.409,184.698792,1.786,141.481,0.277,41.154,80.189,716.019,45.816,842.516,801.085,0.08,0.823,252.722,8.949,328.248,9.313,0.666,0.868,7.749,24.413,70.977,1690.512,308.43,15.437,0.128,0.009,2.144,37.85,-19.637,0.841,418.023,2034.8835,2109.3785
32,28,6,f620a6077f63ee7d65bbb8d24c064f830687bfc803e35361b755b4124e122302,committee2,org0-member3,1789786997345635000,1789786997530326000,1789786998651204000,1789786999464144000,1789786999797174000,1789786999839129000,1.411,184.690875,1.832,140.91,0.696,41.253,44.698,1092.05,43.686,1162.827,1120.878,0.064,1.456,405.635,24.852,275.204,8.263,0.563,0.819,5.492,54.73,35.925,2118.509,296.245,13.343,0.247,0.017,1.492,21.652,9.159,12.635,374.985,2460.700667,2506.132084
33,59,3,4de2d5d57cdf4f076b54904ec8a1d7d3d0e2ec225bbccd53540a10c4680b3b1f,committee1,gateway0,1789786997345635000,1789786997562349000,1789786997623303000,1789786998150219000,1789786998486171000,1789786998574156000,1.411,216.715042,7.305,158.584,2.597,48.228,57.591,0.034,53.722,111.779,60.954,0.042,0.809,206.425,3.855,224.824,4.598,0.643,0.879,1.368,61.458,22.056,804.584,310.228,0.967,0.28,0.009,0.742,23.718,1.189,14.175,423.937,1141.727125,1242.698
34,57,7,03474b18d04f331bb9fe9b1e7a99ca176ed0f9bf7ce9e96a13425fd35b8712fd,committee1,gateway0,1789786997345639000,1789786997562225000,1789786998916500000,1789786999854190000,1789787000205144000,1789787000239113000,1.415,216.585792,1.791,163.633,2.252,48.91,57.94,1283.738,63.138,1405.437,1354.275,0.078,0.813,577.992,25.088,251.007,0.013,1.403,0.915,22.043,38.338,20.077,2508.551,301.219,3.078,0.122,0.01,2.282,44.235,7.171,0.675,384.923,2866.679333,2894.153042
